Brendan Thorn
November, 2016


Tables from the last three seasons showing, among those with over 150 shot attempts, which players are able to consistently get shots through to the net.

Definitions:

Shooter - player taking the shot
Goals - number of shot attempts that ended up in the goal
Shots - number of shot attempts on target and saved by the goalie
Blocks - number of shot attempts blocked by the opposing team before reaching the goal(ie)
Misses - number of shot attempts that hit the post/crossbar or missed the net entirely
Attempts - attempts = goals+shots+blocks+misses
Shots_Through_Per - stp = (Goals+Shots)/(Goals+Shots+Blocks+Misses)


Additional info and notes:

This is the query I used to generate the table from custom MySQL database (check out my github account for the 20152016 DB - https://github.com/HalcyonBrendan/DemoFiles):

SELECT TB.shooter AS Shooter,Goals,Shots,Blocks,Misses,(Goals+Shots+Blocks+Misses) AS Attempts,(Goals+Shots)/(Goals+Shots+Blocks+Misses) AS Shots_Through_Per 
FROM (SELECT shooter, COUNT(*) AS Blocks FROM Blocks20152016 WHERE period<5 GROUP BY shooter) AS TB 
INNER JOIN (SELECT shooter, COUNT(*) AS Misses FROM Misses20152016 WHERE period<5 GROUP BY shooter) AS TM ON TB.shooter=TM.shooter 
INNER JOIN (SELECT shooter, COUNT(*) AS Shots FROM Shots20152016 WHERE period<5 GROUP BY shooter) AS TS ON TB.shooter=TS.shooter
INNER JOIN (SELECT shooter, COUNT(*) AS Goals FROM Goals20152016 WHERE period<5 GROUP BY shooter) AS TG ON TB.shooter=TG.shooter
WHERE (Goals+Shots+Blocks+Misses)>150 
ORDER BY Shots_Through_Per ASC;


Certain players, such as Alex Edler (the inspiration for this query) and Marc-Edouard Vlasic, are consistently unable to get shots through to the net, and thus appear near the top of the list in all three seasons. Note, that for obvious reasons, defencemen are heavily represented with poor shots through percentages (STPs), while forwards have much higher STPs. Netfront and rush players, like Justin Abdelkader, Loui Eriksson, Jonathan Toews, Sidney Crosby, and Jimmy Hayes, consistently appear with the highest STPs, and volume shooters (and scorers), such as Steven Stamkos and Alex Ovenchkin, end up somewhere in the middle.


20152016:

+----------------------------+-------+-------+--------+--------+----------+-------------------+
| Shooter                    | Goals | Shots | Blocks | Misses | Attempts | Shots_Through_Per |
+----------------------------+-------+-------+--------+--------+----------+-------------------+
| MARTIN MARINCIN            |     1 |    54 |     91 |     34 |      180 |            0.3056 |
| JOHNNY ODUYA               |     4 |    59 |     76 |     51 |      190 |            0.3316 |
| THOMAS HICKEY              |     6 |    49 |     51 |     45 |      151 |            0.3642 |
| KRIS RUSSELL               |     4 |    66 |     63 |     56 |      189 |            0.3704 |
| EVGENY MEDVEDEV            |     4 |    67 |     74 |     44 |      189 |            0.3757 |
| LUKE SCHENN                |     4 |    72 |     92 |     33 |      201 |            0.3781 |
| BRANDON DAVIDSON           |     4 |    59 |     64 |     39 |      166 |            0.3795 |
| JAKE GARDINER              |     7 |   115 |    112 |     86 |      320 |            0.3813 |
| MORGAN RIELLY              |     9 |   158 |    136 |    120 |      423 |            0.3948 |
| ALEC MARTINEZ              |    10 |   115 |    118 |     73 |      316 |            0.3956 |
| BRAYDEN MCNABB             |     2 |    89 |     82 |     54 |      227 |            0.4009 |
| TJ BRODIE                  |     6 |    73 |     84 |     34 |      197 |            0.4010 |
| DION PHANEUF               |     4 |   140 |    131 |     83 |      358 |            0.4022 |
| DENNIS WIDEMAN             |     2 |    73 |     72 |     39 |      186 |            0.4032 |
| MATT HUNWICK               |     2 |    72 |     63 |     46 |      183 |            0.4044 |
| KARL ALZNER                |     4 |    71 |     70 |     40 |      185 |            0.4054 |
| ANDREI MARKOV              |     5 |   112 |    112 |     58 |      287 |            0.4077 |
| JASON DEMERS               |     7 |    88 |     79 |     58 |      232 |            0.4095 |
| ANDREJ SEKERA              |     6 |   149 |    162 |     61 |      378 |            0.4101 |
| MARC-EDOUARD VLASIC        |     8 |   108 |     90 |     75 |      281 |            0.4128 |
| CONNOR MURPHY              |     6 |    95 |     92 |     51 |      244 |            0.4139 |
| NIKLAS HJALMARSSON         |     2 |    75 |     71 |     36 |      184 |            0.4185 |
| ROMAN POLAK                |     1 |    90 |     77 |     49 |      217 |            0.4194 |
| JACK JOHNSON               |     6 |    80 |     68 |     51 |      205 |            0.4195 |
| JEFF PETRY                 |     5 |    93 |     91 |     44 |      233 |            0.4206 |
| ADAM LARSSON               |     3 |    62 |     51 |     38 |      154 |            0.4221 |
| ERIK KARLSSON              |    16 |   232 |    206 |    132 |      586 |            0.4232 |
| MARCO SCANDELLA            |     5 |   121 |    107 |     64 |      297 |            0.4242 |
| ALEX GOLIGOSKI             |     5 |   122 |    115 |     56 |      298 |            0.4262 |
| MATT BARTKOWSKI            |     6 |    79 |     76 |     37 |      198 |            0.4293 |
| RYAN MCDONAGH              |     9 |   104 |     87 |     62 |      262 |            0.4313 |
| NICK SCHULTZ               |     1 |    69 |     55 |     36 |      161 |            0.4348 |
| NATE SCHMIDT               |     2 |    78 |     58 |     46 |      184 |            0.4348 |
| NOAH HANIFIN               |     4 |   118 |    101 |     57 |      280 |            0.4357 |
| KEVIN BIEKSA               |     4 |   105 |     84 |     56 |      249 |            0.4378 |
| TREVOR VAN RIEMSDYK        |     3 |    82 |     72 |     37 |      194 |            0.4381 |
| BRENDEN DILLON             |     2 |    91 |     79 |     40 |      212 |            0.4387 |
| BEN HUTTON                 |     1 |   103 |     90 |     43 |      237 |            0.4388 |
| DAN HAMHUIS                |     3 |    69 |     64 |     28 |      164 |            0.4390 |
